2024-03-19 15:17:23,281 - INFO - ur_api: Send data: movej([0, 0, 0, 0, 0, 0], a=0.5, v=0.5, t=0, r=0)

2024-03-19 15:17:23,281 - INFO - ur_api: Send data: movej([0, 0, 0, 0, 0, 0], a=0.5, v=0.5, t=0, r=0)

2024-03-19 15:19:16,969 - INFO - ur_api: Send data: movel(p[-140, -270, 150, 3.117, 0.025, -3.141], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:19:16,969 - INFO - ur_api: Send data: movel(p[-140, -270, 150, 3.117, 0.025, -3.141], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:20:27,999 - INFO - ur_api: Send data: movel(p[-0.14, -0.27, 0.15, 0.003117, 2.5e-05, -0.003141], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:20:27,999 - INFO - ur_api: Send data: movel(p[-0.14, -0.27, 0.15, 0.003117, 2.5e-05, -0.003141], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:22:35,354 - INFO - ur_api: Send data: movel(p[-0.14, -0.27, 0.15, 3.117, 0.025, -3.141], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:22:35,354 - INFO - ur_api: Send data: movel(p[-0.14, -0.27, 0.15, 3.117, 0.025, -3.141], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:25:54,720 - INFO - ur_api: Send data: movel(p[-0.14, -0.27, 0.15, -1.0805685742253084, 0.6895397389198235, 1.094973726979827], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:25:54,720 - INFO - ur_api: Send data: movel(p[-0.14, -0.27, 0.15, -1.0805685742253084, 0.6895397389198235, 1.094973726979827], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:26:39,002 - INFO - ur_api: Send data: movel(p[-0.14, -0.27, 0.15, -1.0805685742253084, 0.6895397389198235, 1.094973726979827], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:26:39,002 - INFO - ur_api: Send data: movel(p[-0.14, -0.27, 0.15, -1.0805685742253084, 0.6895397389198235, 1.094973726979827], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:28:32,368 - INFO - ur_api: Send data: movel(p[-0.14, -0.27, 0.15, -0.0014025100106328677, 3.1163657629219523, 0.03833332889742368], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:28:32,368 - INFO - ur_api: Send data: movel(p[-0.14, -0.27, 0.15, -0.0014025100106328677, 3.1163657629219523, 0.03833332889742368], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:29:11,910 - INFO - ur_api: Send data: movel(p[-0.14, -0.27, 0.15, -0.0014025100106328677, 3.1163657629219523, 0.03833332889742368], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:29:11,910 - INFO - ur_api: Send data: movel(p[-0.14, -0.27, 0.15, -0.0014025100106328677, 3.1163657629219523, 0.03833332889742368], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:31:30,773 - INFO - ur_api: Send data: movel(p[-0.14, -0.27, 0.15, -0.0014025100106328677, 3.1163657629219523, 0.03833332889742368], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:31:30,773 - INFO - ur_api: Send data: movel(p[-0.14, -0.27, 0.15, -0.0014025100106328677, 3.1163657629219523, 0.03833332889742368], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:32:11,160 - INFO - ur_api: Send data: movel(p[-0.14, -0.27, 0.15, -0.0014025100106328677, 3.1163657629219523, 0.03833332889742368], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:32:11,160 - INFO - ur_api: Send data: movel(p[-0.14, -0.27, 0.15, -0.0014025100106328677, 3.1163657629219523, 0.03833332889742368], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:32:39,709 - INFO - ur_api: Send data: movel(p[-0.14, -0.27, 0.15, -0.0014025100106328677, 3.1163657629219523, 0.03833332889742368], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:32:39,709 - INFO - ur_api: Send data: movel(p[-0.14, -0.27, 0.15, -0.0014025100106328677, 3.1163657629219523, 0.03833332889742368], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:34:09,391 - INFO - ur_api: Send data: movel(p[-0.14, -0.27, 0.15, -0.0014025100106328677, 3.1163657629219523, 0.03833332889742368], a=0.1, v=0.1, t=0, r=0)

2024-03-19 15:34:09,391 - INFO - ur_api: Send data: movel(p[-0.14, -0.27, 0.15, -0.0014025100106328677, 3.1163657629219523, 0.03833332889742368], a=0.1, v=0.1, t=0, r=0)

